,Pers,LS,Lasso,Ridge,LAD,NN,FA-greedy-LAD,FA-fixed-LS,FA-lin-fixed-LS,FA-greedy-LS,FA-fixed-NN,FA-lin-fixed-NN,FA-greedy-NN,FA-lin-greedy-NN,v2FA-lin-fixed-NN,FA-lin-greedy-LS-1,FA-lin-greedy-LS-2,FA-lin-greedy-LS-5,FA-lin-greedy-LS-10,FA-lin-greedy-LS-20,iteration,percentage,v3FA-lin-fixed-NN,v2FA-lin-fixed-LR,v2FA-fixed-LS,v3FA-lin-greedy-LR
0,0.0350849176088731,0.0258492352573749,0.0259573578292847,0.0258836804048212,0.0260076031483113,0.027598045925586,,0.0262005700014265,0.0258492356805052,0.0262005702305813,0.0263129935718731,0.0299409874768632,0.0275980459954328,0.0300826538325195,0.0261968460963627,0.0258492352573749,0.0258492352573749,0.0258492352573749,0.0258492352573749,0.0258492352573749,0,0.0,0.0275711456359238,0.0258492350176221,0.0258492350176221,
0,0.0350849176088731,0.0258492352573749,0.0259573578292847,0.0258836804048212,0.0260076031483113,0.027598045925586,,0.0262005700014265,0.0258492356805052,0.0262005702305813,0.0263129935718731,0.0299409874768632,0.0275980459954328,0.0300826538325195,0.0261968460963627,0.0258492352573749,0.0258492352573749,0.0258492352573749,0.0258492352573749,0.0258492352573749,1,0.0,0.0275711456359238,0.0258492350176221,0.0258492350176221,
0,0.0350849176088731,0.0258492352573749,0.0259573578292847,0.0258836804048212,0.0260076031483113,0.027598045925586,,0.0262005700014265,0.0258492356805052,0.0262005702305813,0.0263129935718731,0.0299409874768632,0.0275980459954328,0.0300826538325195,0.0261968460963627,0.0258492352573749,0.0258492352573749,0.0258492352573749,0.0258492352573749,0.0258492352573749,2,0.0,0.0275711456359238,0.0258492350176221,0.0258492350176221,
0,0.0350849176088731,0.0258492352573749,0.0259573578292847,0.0258836804048212,0.0260076031483113,0.027598045925586,,0.0262005700014265,0.0258492356805052,0.0262005702305813,0.0263129935718731,0.0299409874768632,0.0275980459954328,0.0300826538325195,0.0261968460963627,0.0258492352573749,0.0258492352573749,0.0258492352573749,0.0258492352573749,0.0258492352573749,3,0.0,0.0275711456359238,0.0258492350176221,0.0258492350176221,
0,0.0350849176088731,0.0258492352573749,0.0259573578292847,0.0258836804048212,0.0260076031483113,0.027598045925586,,0.0262005700014265,0.0258492356805052,0.0262005702305813,0.0263129935718731,0.0299409874768632,0.0275980459954328,0.0300826538325195,0.0261968460963627,0.0258492352573749,0.0258492352573749,0.0258492352573749,0.0258492352573749,0.0258492352573749,4,0.0,0.0275711456359238,0.0258492350176221,0.0258492350176221,
0,0.037134101848013,0.0280671859492228,0.0281119737902185,0.0280807423131493,0.0285357138704701,0.0293981068170401,,0.0383390284616925,0.0289886286240196,0.0269643455605587,0.0315904282654894,0.0327661038771529,0.0284915745820842,0.030773535431161,0.036583652069411,0.035166257438471,0.0266185543800801,0.026151712807382,0.0261654331713411,0.0261356437902818,0,0.001,0.0308939581408122,0.030413637979445,0.0403418854598871,
0,0.0384092804004251,0.0294825321574756,0.0294786951823332,0.0294856877760885,0.0300950133421834,0.0306905973415601,,0.0371911907270891,0.0304586284045377,0.0278950006455072,0.0384883851431363,0.0333477142530744,0.0290790489001652,0.0311934988622494,0.0410440264184268,0.0352264694617829,0.0270453046466353,0.0262785040129312,0.0262778432223077,0.0262662143642795,1,0.001,0.031711271379041,0.0313608942084737,0.0377577856460701,
0,0.0392000857681103,0.0300438313103896,0.030078133892535,0.0300483340228736,0.0307443568389693,0.0311714049739513,,0.0380452583596393,0.0296435768750576,0.0273418214226205,0.0381605287614905,0.0323865525757116,0.0285915641420078,0.0307814125495486,0.03721597423542,0.0322088697119034,0.0270389135418018,0.0263300223936073,0.0263156398433772,0.0262463020130613,2,0.001,0.0319331843350072,0.0310521288000624,0.0398874303937365,
0,0.036020836615847,0.0270266431643419,0.0270701128654619,0.0270449909500607,0.0272617795292092,0.0286297142511314,,0.0363108393131659,0.0293859115444109,0.0279430529345036,0.0352505535520441,0.0323890482503034,0.0292689588464046,0.0313218273047045,0.0355147352867363,0.0358984950629864,0.0278462553951764,0.0266877650621954,0.0266877650621954,0.0265969094279691,3,0.001,0.0310979716511031,0.0296644827814819,0.0365333403052122,
0,0.0518759526868208,0.0427367545967297,0.0425341319546176,0.0426792071789583,0.0446384830522177,0.0413553983290618,,0.0395530577440151,0.0305094301523444,0.0275463239691191,0.0426454350909346,0.0329468768420171,0.0288084258236133,0.0310719258849098,0.0399327981120127,0.0348893937169537,0.0277548825684343,0.0264289630562345,0.0263910329328192,0.0264135127089877,4,0.001,0.0319622829707782,0.0307067494155245,0.0405359506806184,
